what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998066524
error,log,,,"Unable to validate connection settings.",1522998068498
error,log,,,"Unable to validate connection settings.",1522998068568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998068752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998071160
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1522998087202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998087555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998087664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998088913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998096691
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998100965
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998108218
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522998108508
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998116001
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1522998124931
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998126188
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998139340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998148395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998265759
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1522998269596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998270162
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998286261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522998286551
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998293962
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998297846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522998305318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998322282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998329096
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998329821
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998329924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998329978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998333762
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522998333902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998335317
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522998388375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998390631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998392898
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522998392930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522998392930
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998392959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998393123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998394642
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998394659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998395411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998396362
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1522998399552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998524446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998561408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522998563690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998604983
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998622342
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522998622631
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998630235
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998645704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998725266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998733819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998735998
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1522998736880
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998738333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998755071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998767603
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998771910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998772205
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522998772210
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998779703
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998782509
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998783264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998785741
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1522998930195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998931535
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998947427
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522998947761
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522998955280
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522998959164
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1522998961854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998962329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998973602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522998985069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522998996354
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522999011711
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522999012006
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522999019488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522999025436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522999028104
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522999043991
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522999044327
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522999051852
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522999055181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999069580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999092646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999106706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999114166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999116798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1522999116871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999118989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999119604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522999148301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522999151066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522999154108
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522999171338
